1545019270 0
1545022952 0
1545027722 0
1545027967 0
1545028050 -61
1545028439 -77
1545029081 -81
1545029538 -81
1545030379 -81
1545030902 -77
1545031233 -77
1545031364 -77
1545032200 -77
1545033509 -77
1545033520 -74
1545033919 -77
1545034121 -77
1545034868 -77
1545035473 -77
1545037598 -77
1545047528 -52
1545047600 -52
1545047927 -52
1545062646 -54
1545974083 -52
1546432328 -52
1548055684 -48
1548057061 -48
1548057358 -48
1548062848 -774
1548072065 -766
1548072447 -766
1548138814 -1106
1548245378 -1184
